정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
KUB352000772,공단주유소사거리,35.94175,129.2727,2025-10-31,5038,37020,경상북도 경주시,경주BIS
KUB352000773,천북산업단지사거리,35.93828333,129.2733,2025-10-31,5289,37020,경상북도 경주시,경주BIS
KUB352000774,화산산업단지입구,35.93008333,129.2718167,2025-10-31,5337,37020,경상북도 경주시,경주BIS
KUB352000775,화산,35.92735,129.2878833,2025-10-31,5324,37020,경상북도 경주시,경주BIS
KUB352000776,화산1리.보건소앞,35.92435,129.2893,2025-10-31,5326,37020,경상북도 경주시,경주BIS
KUB352000777,화산2리.새터마을,35.91948333,129.28855,2025-10-31,5328,37020,경상북도 경주시,경주BIS
KUB352000778,화산3리.나리마을입,35.91687453,129.2869018,2025-10-31,5332,37020,경상북도 경주시,경주BIS
KUB352000779,화산2리.흥림마을,35.91477026,129.2850395,2025-10-31,5330,37020,경상북도 경주시,경주BIS
KUB352000780,화산3리입구,35.91225235,129.2811321,2025-10-31,5333,37020,경상북도 경주시,경주BIS
KUB352000781,소리못입구,35.90548459,129.2785077,2025-10-31,5172,37020,경상북도 경주시,경주BIS
KUB352000782,동산1리,35.89722764,129.2706014,2025-10-31,5098,37020,경상북도 경주시,경주BIS
KUB352000783,양지아파트,35.91986667,129.24665,2025-10-31,5228,37020,경상북도 경주시,경주BIS
KUB352000784,모아1리회관,35.92328855,129.2529896,2025-10-31,5116,37020,경상북도 경주시,경주BIS
KUB352000785,신당3리,35.90656667,129.2526,2025-10-31,5186,37020,경상북도 경주시,경주BIS
KUB352000786,서한아파트,35.878136,129.229672,2025-10-31,1198,37020,경상북도 경주시,경주BIS
KUB352000787,강동,35.9871,129.2754833,2025-10-31,5025,37020,경상북도 경주시,경주BIS
KUB352000788,위덕삼성아파트,36.00689384,129.284629,2025-10-31,5265,37020,경상북도 경주시,경주BIS
KUB352000789,위덕대학교,36.01517877,129.2839108,2025-10-31,5264,37020,경상북도 경주시,경주BIS
KUB352000790,위덕삼성아파트,36.00703762,129.2849623,2025-10-31,5266,37020,경상북도 경주시,경주BIS
KUB352000791,한동아파트,35.9991911,129.1841608,2025-10-31,5312,37020,경상북도 경주시,경주BIS
KUB352000792,대동,35.96049695,129.21569,2025-10-31,5090,37020,경상북도 경주시,경주BIS
KUB352000793,검단교,35.93353307,129.2095304,2025-10-31,5033,37020,경상북도 경주시,경주BIS
KUB352000794,검단1리.장골입구,35.93660232,129.2196457,2025-10-31,5029,37020,경상북도 경주시,경주BIS
KUB352000795,신기동,35.93785,129.2233667,2025-10-31,5180,37020,경상북도 경주시,경주BIS
KUB352000796,사방회관,35.9384,129.2297,2025-10-31,5140,37020,경상북도 경주시,경주BIS
KUB352000798,국당2리,35.97552504,129.2877966,2025-10-31,5039,37020,경상북도 경주시,경주BIS
KUB352000799,왕신,35.96542006,129.2916505,2025-10-31,5260,37020,경상북도 경주시,경주BIS
KUB352000800,오금4리,35.96443309,129.2821885,2025-10-31,5239,37020,경상북도 경주시,경주BIS
KUB352000801,오금3리,35.97193333,129.2728167,2025-10-31,5237,37020,경상북도 경주시,경주BIS
KUB352000802,오금2리,35.97528333,129.2697333,2025-10-31,5235,37020,경상북도 경주시,경주BIS
KUB352000804,양동민속마을,35.9998,129.2542667,2025-10-31,5219,37020,경상북도 경주시,경주BIS
KUB352000805,삽실마을,36.0157,129.2546167,2025-10-31,5151,37020,경상북도 경주시,경주BIS
KUB352000806,안계1리.사골마을,36.03190135,129.2623877,2025-10-31,5213,37020,경상북도 경주시,경주BIS
KUB352000807,안계2리,36.0294,129.2509333,2025-10-31,5214,37020,경상북도 경주시,경주BIS
KUB352000808,다산1리,36.04491667,129.24915,2025-10-31,5079,37020,경상북도 경주시,경주BIS
KUB352000809,단구농협창고,36.0494,129.2454833,2025-10-31,5082,37020,경상북도 경주시,경주BIS
KUB352000810,단구초등학교,36.05173333,129.2449833,2025-10-31,5085,37020,경상북도 경주시,경주BIS
KUB352000811,달성,36.05620957,129.2417165,2025-10-31,5086,37020,경상북도 경주시,경주BIS
KUB352000812,소현교,35.890668,129.179231,2025-10-31,5177,37020,경상북도 경주시,경주BIS
KUB352000813,지일,35.88598333,129.1884,2025-10-31,5285,37020,경상북도 경주시,경주BIS
KUB352000814,오류,35.87825,129.1964333,2025-10-31,5241,37020,경상북도 경주시,경주BIS
KUB352000815,나원2리.종점,35.89801071,129.214556,2025-10-31,5050,37020,경상북도 경주시,경주BIS
KUB352000816,나원사입구,35.89316667,129.2169,2025-10-31,5054,37020,경상북도 경주시,경주BIS
KUB352000817,(구)나원역,35.886087,129.214879,2025-10-31,5058,37020,경상북도 경주시,경주BIS
KUB352000818,내태1리(종점),35.92239678,129.1454025,2025-10-31,5066,37020,경상북도 경주시,경주BIS
KUB352000820,무과리,35.90336667,129.1716667,2025-10-31,5121,37020,경상북도 경주시,경주BIS
KUB352000821,소현1리,35.89108333,129.1785667,2025-10-31,5174,37020,경상북도 경주시,경주BIS
KUB352000822,금장2리,35.875163,129.191101,2025-10-31,5046,37020,경상북도 경주시,경주BIS
KUB352000823,소현2리.현대자동차,35.881008,129.183351,2025-10-31,5175,37020,경상북도 경주시,경주BIS
KUB352000824,서경주역,35.884969,129.178604,2025-10-31,5308,37020,경상북도 경주시,경주BIS
KUB352000825,현곡농협,35.886661,129.176492,2025-10-31,5316,37020,경상북도 경주시,경주BIS
KUB352000826,하구2리,35.89591767,129.1654593,2025-10-31,5306,37020,경상북도 경주시,경주BIS
KUB352000827,가정2리.디자인고등학교,35.89919231,129.1632104,2025-10-31,5005,37020,경상북도 경주시,경주BIS
KUB352000828,가정3리.용담정,35.90147403,129.1572749,2025-10-31,5007,37020,경상북도 경주시,경주BIS
KUB352000829,가정1리,35.90292266,129.1536163,2025-10-31,5003,37020,경상북도 경주시,경주BIS
KUB352000830,남사1리,35.90446175,129.1391872,2025-10-31,5063,37020,경상북도 경주시,경주BIS
KUB352000831,남사2리,35.90810559,129.1339575,2025-10-31,5065,37020,경상북도 경주시,경주BIS
KUB352000832,남사1리,35.90454931,129.1393773,2025-10-31,5064,37020,경상북도 경주시,경주BIS
KUB352000833,가정1리,35.90296658,129.1537004,2025-10-31,5004,37020,경상북도 경주시,경주BIS
KUB352000834,가정3리.용담정,35.90163984,129.1573448,2025-10-31,5008,37020,경상북도 경주시,경주BIS
KUB352000835,가정2리.디자인고등학교,35.89928747,129.163337,2025-10-31,5006,37020,경상북도 경주시,경주BIS
KUB352000836,하구2리,35.89598249,129.1656601,2025-10-31,5307,37020,경상북도 경주시,경주BIS
KUB352000837,현곡농협,35.886798,129.176606,2025-10-31,5317,37020,경상북도 경주시,경주BIS
KUB352000838,서경주역,35.885253,129.178568,2025-10-31,5309,37020,경상북도 경주시,경주BIS
KUB352000839,소현2리.현대자동차,35.881145,129.183493,2025-10-31,5176,37020,경상북도 경주시,경주BIS
KUB352000840,금장2리,35.875407,129.191068,2025-10-31,5047,37020,경상북도 경주시,경주BIS
KUB352000842,에덴아파트,36.00408333,129.1934167,2025-10-31,5229,37020,경상북도 경주시,경주BIS
KUB352000843,삼도아파트,36.00231601,129.19433,2025-10-31,5149,37020,경상북도 경주시,경주BIS
KUB352000844,홍천마을,36.0030425,129.1994719,2025-10-31,5320,37020,경상북도 경주시,경주BIS
KUB352000845,산대2리금성,36.00672941,129.2082989,2025-10-31,5141,37020,경상북도 경주시,경주BIS
KUB352000846,양월1리구왕,36.00843609,129.2129928,2025-10-31,5224,37020,경상북도 경주시,경주BIS
KUB352000847,존당,36.01155,129.2193,2025-10-31,5282,37020,경상북도 경주시,경주BIS
KUB352000849,샛터,35.93705,129.21585,2025-10-31,5166,37020,경상북도 경주시,경주BIS
KUB352000850,덕곡,35.93583333,129.20715,2025-10-31,5094,37020,경상북도 경주시,경주BIS
KUB352000851,검단,35.93059981,129.19318,2025-10-31,5027,37020,경상북도 경주시,경주BIS
KUB352000852,검단약수탕,35.93040881,129.2059916,2025-10-31,5035,37020,경상북도 경주시,경주BIS
KUB352000853,검단2리회관,35.93276667,129.20805,2025-10-31,5030,37020,경상북도 경주시,경주BIS
KUB352000854,사방초등학교,35.9380431,129.227758,2025-10-31,5138,37020,경상북도 경주시,경주BIS
KUB352000855,문화중고등학교,35.85248575,129.1677555,2025-10-31,1125,37020,경상북도 경주시,경주BIS
KUB352000856,시청,35.856711,129.223391,2025-10-31,1227,37020,경상북도 경주시,경주BIS
KUB352000857,보건소,35.859605,129.224147,2025-10-31,1139,37020,경상북도 경주시,경주BIS
KUB352000858,대신아파트,35.861595,129.223638,2025-10-31,1087,37020,경상북도 경주시,경주BIS
KUB352000859,청강사삼거리,35.862664,129.225242,2025-10-31,1320,37020,경상북도 경주시,경주BIS
KUB352000860,청강사삼거리,35.862507,129.22536,2025-10-31,1321,37020,경상북도 경주시,경주BIS
KUB352000861,대신아파트,35.861763,129.223775,2025-10-31,1088,37020,경상북도 경주시,경주BIS
KUB352000862,보건소,35.859133,129.224355,2025-10-31,1140,37020,경상북도 경주시,경주BIS
KUB352000863,시청,35.856582,129.223312,2025-10-31,1226,37020,경상북도 경주시,경주BIS
KUB352000864,안강전화국,35.99076667,129.2189,2025-10-31,5209,37020,경상북도 경주시,경주BIS
KUB352000865,근계2리,35.97035,129.2008333,2025-10-31,5041,37020,경상북도 경주시,경주BIS
KUB352000866,근계2리회관,35.97933333,129.2105,2025-10-31,5043,37020,경상북도 경주시,경주BIS
KUB352000867,안강전화국,35.99071667,129.2186833,2025-10-31,5208,37020,경상북도 경주시,경주BIS
KUB352000868,황성주공1차,35.86182,129.216994,2025-10-31,1383,37020,경상북도 경주시,경주BIS
KUB352000869,계림중학교,35.863613,129.212119,2025-10-31,1040,37020,경상북도 경주시,경주BIS
KUB352000870,황성주공2차.계림고,35.864635,129.209429,2025-10-31,1386,37020,경상북도 경주시,경주BIS
KUB352000871,현곡면행정복지센터,35.86711667,129.2031,2025-10-31,5048,37020,경상북도 경주시,경주BIS
KUB352000872,경림소망타운,35.987699,129.227741,2025-10-31,5036,37020,경상북도 경주시,경주BIS
KUB352000874,삼도아파트,36.00237428,129.1929168,2025-10-31,5147,37020,경상북도 경주시,경주BIS
KUB352000875,에덴아파트,36.004,129.1933167,2025-10-31,5230,37020,경상북도 경주시,경주BIS
KUB352000876,새터입구,36.00504511,129.1962901,2025-10-31,5164,37020,경상북도 경주시,경주BIS
KUB352000877,홍천마을,36.00315,129.1996833,2025-10-31,5321,37020,경상북도 경주시,경주BIS
KUB352000878,안강사거리,35.9901,129.228,2025-10-31,5201,37020,경상북도 경주시,경주BIS
KUB352000879,경림소망타운,35.987687,129.227912,2025-10-31,5037,37020,경상북도 경주시,경주BIS
KUB352000880,갑산1리정미소,35.97953333,129.2280833,2025-10-31,5016,37020,경상북도 경주시,경주BIS
KUB352000881,갑산농공단지,35.974306,129.228057,2025-10-31,5020,37020,경상북도 경주시,경주BIS
KUB352000882,갑산2리,35.96851667,129.2310667,2025-10-31,5017,37020,경상북도 경주시,경주BIS
KUB352000883,대동입구,35.96293333,129.2338167,2025-10-31,5092,37020,경상북도 경주시,경주BIS
KUB352000884,옥곡,35.9519,129.2318833,2025-10-31,5248,37020,경상북도 경주시,경주BIS
KUB352000885,가지곡,35.94806667,129.2329667,2025-10-31,5010,37020,경상북도 경주시,경주BIS
KUB352000886,사방역,35.93817586,129.2323058,2025-10-31,5134,37020,경상북도 경주시,경주BIS
KUB352000887,사방다리목,35.92856667,129.2319667,2025-10-31,5132,37020,경상북도 경주시,경주BIS
KUB352000888,청령,35.91795,129.2334667,2025-10-31,5292,37020,경상북도 경주시,경주BIS
KUB352000889,새각단,35.90848333,129.2311667,2025-10-31,5158,37020,경상북도 경주시,경주BIS
KUB352000890,나원산업,35.90313333,129.2271667,2025-10-31,5056,37020,경상북도 경주시,경주BIS
KUB352000891,아진아파트,35.89843333,129.22565,2025-10-31,5196,37020,경상북도 경주시,경주BIS
KUB352000892,나원3리,35.89413333,129.2256167,2025-10-31,5052,37020,경상북도 경주시,경주BIS
KUB352000893,천마총후문.황리단길,35.840452,129.213073,2025-10-31,1315,37020,경상북도 경주시,경주BIS
KUB352000894,오류2리,35.87555,129.2104167,2025-10-31,5243,37020,경상북도 경주시,경주BIS
KUB352000895,신흥아파트,35.87185,129.2049833,2025-10-31,5193,37020,경상북도 경주시,경주BIS
KUB352000896,나원초등학교,35.86963333,129.203,2025-10-31,5062,37020,경상북도 경주시,경주BIS
KUB352000897,금장삼성아파트,35.86728333,129.2032833,2025-10-31,5049,37020,경상북도 경주시,경주BIS
KUB352000898,황성주공2차.계림고,35.864918,129.20947,2025-10-31,1385,37020,경상북도 경주시,경주BIS
KUB352000899,계림중학교,35.86326667,129.2139,2025-10-31,1041,37020,경상북도 경주시,경주BIS
KUB352000900,황성주공1차,35.862007,129.217332,2025-10-31,1384,37020,경상북도 경주시,경주BIS
KUB352000901,강교1리,35.95576046,129.1399136,2025-10-31,5021,37020,경상북도 경주시,경주BIS
KUB352000902,야일노인정,35.96489669,129.1369664,2025-10-31,5216,37020,경상북도 경주시,경주BIS
KUB352000903,하곡,35.98033333,129.1396667,2025-10-31,5301,37020,경상북도 경주시,경주BIS
KUB352000904,강교2리회관,35.98525823,129.1253379,2025-10-31,5022,37020,경상북도 경주시,경주BIS
KUB352000905,풍산아파트,35.994585,129.199082,2025-10-31,5299,37020,경상북도 경주시,경주BIS
KUB352000906,전마을,35.95606516,129.1555437,2025-10-31,5276,37020,경상북도 경주시,경주BIS
KUB352000907,두류2리회관,35.96869342,129.1520564,2025-10-31,5105,37020,경상북도 경주시,경주BIS
KUB352000908,딱실못,35.98595,129.1532333,2025-10-31,5109,37020,경상북도 경주시,경주BIS
KUB352000909,하곡,35.98045,129.13955,2025-10-31,5300,37020,경상북도 경주시,경주BIS
KUB352000910,노실,35.99508333,129.1364167,2025-10-31,5075,37020,경상북도 경주시,경주BIS
KUB352000911,하곡리회관,35.98616667,129.14215,2025-10-31,5303,37020,경상북도 경주시,경주BIS
KUB352000912,딱실못,35.98598333,129.15295,2025-10-31,5108,37020,경상북도 경주시,경주BIS
KUB352000913,두류입구,35.98806667,129.1594667,2025-10-31,5106,37020,경상북도 경주시,경주BIS
KUB352000914,광명,35.819,129.1487667,2025-10-31,1046,37020,경상북도 경주시,경주BIS
KUB352000915,와산마을,35.82866667,129.15795,2025-10-31,1259,37020,경상북도 경주시,경주BIS
KUB352000916,옥산1리.독락당,36.01592328,129.1602948,2025-10-31,5250,37020,경상북도 경주시,경주BIS
KUB352000917,옥산2리.옥산서원,36.00803,129.164831,2025-10-31,5252,37020,경상북도 경주시,경주BIS
KUB352000918,옥산3리,36.00095,129.1707167,2025-10-31,5254,37020,경상북도 경주시,경주BIS
KUB352000919,한동화성타운,36.00028891,129.1834423,2025-10-31,5339,37020,경상북도 경주시,경주BIS
KUB352000920,양동민속마을,35.99496667,129.2540167,2025-10-31,5218,37020,경상북도 경주시,경주BIS
KUB352000921,와산마을,35.82846667,129.1580333,2025-10-31,1260,37020,경상북도 경주시,경주BIS
KUB352000922,광명,35.8189,129.1506,2025-10-31,1049,37020,경상북도 경주시,경주BIS
KUB352000923,경주역(KTX),35.79835944,129.140008,2025-10-31,3142,37020,경상북도 경주시,경주BIS
KUB352000924,풍산금속입구,35.99731667,129.1965167,2025-10-31,5297,37020,경상북도 경주시,경주BIS
KUB352000925,산대리부대앞,35.99791667,129.1897,2025-10-31,5144,37020,경상북도 경주시,경주BIS
KUB352000926,옥산서원입구,35.99398333,129.1778,2025-10-31,5258,37020,경상북도 경주시,경주BIS
KUB352000927,옥산4리,35.99112615,129.1710623,2025-10-31,5256,37020,경상북도 경주시,경주BIS
KUB352000928,두류입구,35.98876667,129.1629333,2025-10-31,5107,37020,경상북도 경주시,경주BIS
KUB352000929,두류1리,35.96407183,129.1736454,2025-10-31,5101,37020,경상북도 경주시,경주BIS
KUB352000930,두류1리회관,35.98008333,129.163,2025-10-31,5103,37020,경상북도 경주시,경주BIS
KUB352000931,옥산4리,35.99108159,129.1700547,2025-10-31,5255,37020,경상북도 경주시,경주BIS
KUB352000932,옥산서원입구,35.99343333,129.1762333,2025-10-31,5257,37020,경상북도 경주시,경주BIS
KUB352000933,화성한동타운입구,35.99743333,129.1849,2025-10-31,5340,37020,경상북도 경주시,경주BIS
KUB352000934,산대리부대앞,35.99801667,129.1889,2025-10-31,5143,37020,경상북도 경주시,경주BIS
KUB352000935,풍산금속입구,35.9978,129.1953,2025-10-31,5295,37020,경상북도 경주시,경주BIS
KUB352000936,육통1리,36.02049322,129.2186215,2025-10-31,5267,37020,경상북도 경주시,경주BIS
KUB352000937,원당,36.02454588,129.2107028,2025-10-31,5263,37020,경상북도 경주시,경주BIS
KUB352000938,육통1리회관,36.01824305,129.2177487,2025-10-31,5268,37020,경상북도 경주시,경주BIS
KUB352000939,육통2리회관,36.015389,129.2129294,2025-10-31,5269,37020,경상북도 경주시,경주BIS
KUB352000940,새터입구,36.00516667,129.1964667,2025-10-31,5165,37020,경상북도 경주시,경주BIS
KUB352000941,우방아파트,36.0039,129.19735,2025-10-31,5262,37020,경상북도 경주시,경주BIS
KUB352000942,새마을금고,36.00175,129.19685,2025-10-31,5160,37020,경상북도 경주시,경주BIS
KUB352000943,산대3리 회관앞,35.99951858,129.1963651,2025-10-31,5146,37020,경상북도 경주시,경주BIS
KUB352000944,표충각,35.99556455,129.2046271,2025-10-31,5294,37020,경상북도 경주시,경주BIS
KUB352000945,한신.청실아파트,35.99473333,129.20705,2025-10-31,5315,37020,경상북도 경주시,경주BIS
KUB352000946,경주예일고,35.99404105,129.2118309,2025-10-31,5206,37020,경상북도 경주시,경주BIS
KUB352000947,용강사거리,35.866749,129.223458,2025-10-31,1270,37020,경상북도 경주시,경주BIS
